DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,BRAND,PACK_SIZE
43328,97,97159,97271,35,Woolworths Mild     Salsa 300g,5,7.5,Woolworths,3
43330,101,101170,101017,12,Natural Chip Co     Tmato Hrb&Spce 175g,1,3,Natural,1
43329,102,102115,102209,36,Kettle Chilli 175g,1,5.4,Kettle,1
43329,104,104187,104862,71,Twisties Cheese     Burger 250g,1,4.3,Twisties,2
43326,106,106050,107052,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,Doritos,1
43328,106,106147,107633,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,Kettle,1
43602,109,109028,110346,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,Smiths,1
43605,109,109028,110347,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,Cobs,1
43599,110,110013,111797,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,Smiths,1
43600,111,111487,113669,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6,Smiths,1
43330,112,112046,113969,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,Kettle,1
43603,114,114185,118043,24,Grain Waves         Sweet Chilli 210g,1,3.6,Grain,2
43604,115,115381,118981,29,French Fries Potato Chips 175g,1,3,French,1
43327,116,116184,120270,59,Old El Paso Salsa   Dip Tomato Med 300g,1,5.1,Old,3
43332,118,118007,120727,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,Doritos,1
43601,119,119051,122366,81,Pringles Original   Crisps 134g,1,3.7,Pringles,1
43604,119,119057,122403,36,Kettle Chilli 175g,1,5.4,Kettle,1
43604,119,119282,123246,46,Kettle Original 175g,1,5.4,Kettle,1
43603,120,120226,123743,67,RRD Chilli&         Coconut 150g,1,2.7,RRD,1
43330,122,122113,125310,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,Doritos,1
43601,122,122185,125736,110,WW Original Corn    Chips 200g,2,3.8,WW,2
43600,125,125251,129302,36,Kettle Chilli 175g,1,5.4,Kettle,1
43326,128,128148,131503,51,Doritos Mexicana    170g,1,4.4,Doritos,1
43328,128,128231,132121,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,Thins,1
43330,128,128231,132122,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,Cobs,1
43600,129,129134,133032,92,WW Crinkle Cut      Chicken 175g,2,3.4,WW,1
43605,130,130108,134125,2,Cobs Popd Sour Crm  &Chives Chips 110g,5,19,Cobs,1
43599,130,130356,135147,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8,Smiths,3
43600,133,133250,137666,30,Doritos Corn Chips  Cheese Supreme 170g,4,17.6,Doritos,1
43601,149,149225,148901,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,Doritos,1
43332,149,149317,149044,15,Twisties Cheese     270g,1,4.6,Twisties,2
43327,151,151325,150030,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,Kettle,1
43604,151,151427,150128,46,Kettle Original 175g,1,5.4,Kettle,1
43329,152,152042,150473,69,Smiths Chip Thinly  S/Cream&Onion 175g,3,9,Smiths,1
43601,152,152117,150988,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,Cobs,1
43605,153,153106,152359,30,Doritos Corn Chips  Cheese Supreme 170g,3,13.2,Doritos,1
43327,153,153220,152829,113,Twisties Chicken270g,2,9.2,Twisties,2
43602,156,156236,158227,83,WW D/Style Chip     Sea Salt 200g,1,1.9,WW,2
43603,156,156236,158228,110,WW Original Corn    Chips 200g,2,3.8,WW,2
43329,157,157123,159188,68,Pringles Chicken    Salt Crips 134g,1,3.7,Pringles,1
43328,157,157185,159562,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2,Old,3
43331,160,160136,160968,82,Smith Crinkle Cut   Mac N Cheese 150g,5,13,Smith,1
43327,160,160153,161091,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,Tyrrells,1
43601,161,161280,161813,45,Smiths Thinly Cut   Roast Chicken 175g,1,3,Smiths,1
43604,164,164183,164919,67,RRD Chilli&         Coconut 150g,1,2.7,RRD,1
43327,166,166235,168185,44,Thins Chips Light&  Tangy 175g,1,3.3,Thins,1
43327,166,166251,168260,104,Infuzions Thai SweetChili PotatoMix 110g,1,3.8,Infuzions,1
43605,166,166261,168302,42,Doritos Corn Chip Mexican Jalapeno 150g,2,7.8,Doritos,1
43603,167,167405,169222,96,WW Original Stacked Chips 160g,2,3.8,WW,1
43602,168,168213,170687,93,Doritos Corn Chip Southern Chicken 150g,2,7.8,Doritos,1
43602,168,168219,170719,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,4,15.2,Cobs,1
43332,169,169267,171363,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,Smiths,1
43331,172,172006,172766,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,Kettle,1
43331,172,172068,173162,79,Smiths Chip Thinly  CutSalt/Vinegr175g,1,3,Smiths,1
43605,172,172068,173166,23,Cheezels Cheese 330g,2,11.4,Cheezels,3
43327,173,173154,174550,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,Kettle,1
43330,173,173154,174551,15,Twisties Cheese     270g,1,4.6,Twisties,2
43331,175,175306,176634,59,Old El Paso Salsa   Dip Tomato Med 300g,1,5.1,Old,3
43326,178,178036,177775,50,Tostitos Lightly    Salted 175g,1,4.4,Tostitos,1
43603,178,178093,178134,114,Kettle Sensations   Siracha Lime 150g,2,9.2,Kettle,1
43329,181,181265,183665,44,Thins Chips Light&  Tangy 175g,2,6.6,Thins,1
43328,184,184229,187762,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,Doritos,1
43599,186,186188,188585,78,Thins Chips Salt &  Vinegar 175g,1,3.3,Thins,1
43332,186,186401,188768,1,Smiths Crinkle Cut  Chips Barbecue 170g,5,14.5,Smiths,1
43602,187,187144,189046,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,Kettle,1
43329,191,191094,192335,86,Cheetos Puffs 165g,2,5.6,Cheetos,1
43328,191,191200,192940,53,RRD Sweet Chilli &  Sour Cream 165g,1,3,RRD,1
43601,191,191200,192945,36,Kettle Chilli 175g,1,5.4,Kettle,1
43604,194,194066,193560,36,Kettle Chilli 175g,2,10.8,Kettle,1
43332,194,194161,193938,93,Doritos Corn Chip Southern Chicken 150g,1,3.9,Doritos,1
43326,196,196121,196172,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,Smiths,1
43600,197,197172,197097,72,WW Crinkle Cut      Original 175g,1,1.7,WW,1
43330,200,200162,199522,114,Kettle Sensations   Siracha Lime 150g,1,4.6,Kettle,1
43328,205,205151,204218,74,Tostitos Splash Of  Lime 175g,1,4.4,Tostitos,1
43600,205,205151,204219,82,Smith Crinkle Cut   Mac N Cheese 150g,3,7.8,Smith,1
43602,207,207007,204633,107,Smiths Crinkle Cut  French OnionDip 150g,4,10.4,Smiths,1
43604,207,207091,205119,44,Thins Chips Light&  Tangy 175g,1,3.3,Thins,1
43330,207,207182,205682,7,Smiths Crinkle      Original 330g,2,11.4,Smiths,3
43602,208,208081,206568,61,Smiths Crinkle Cut  Chips Chicken 170g,1,2.9,Smiths,1
43602,208,208139,206906,63,Kettle 135g Swt Pot Sea Salt,1,4.2,Kettle,1
43605,209,209180,208512,54,CCs Original 175g,1,2.1,CCs,1
43604,212,212194,211539,25,Pringles SourCream  Onion 134g,1,3.7,Pringles,1
43603,212,212201,211570,81,Pringles Original   Crisps 134g,1,3.7,Pringles,1
43599,212,212203,211586,4,Dorito Corn Chp     Supreme 380g,1,3.25,Dorito,3
43330,214,214277,213883,76,Woolworths Medium   Salsa 300g,1,1.5,Woolworths,3
43329,215,215129,214343,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,Kettle,1
43601,216,216104,215132,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,Kettle,1
43329,217,217168,217061,113,Twisties Chicken270g,1,4.6,Twisties,2
43603,219,219065,218396,15,Twisties Cheese     270g,1,4.6,Twisties,2
43329,222,222079,221942,71,Twisties Cheese     Burger 250g,1,4.3,Twisties,2
43331,222,222209,222689,91,CCs Tasty Cheese    175g,1,2.1,CCs,1
43602,222,222209,222693,40,Thins Chips Seasonedchicken 175g,5,16.5,Thins,1
43331,223,223062,223280,105,Woolworths Cheese   Rings 190g,1,1.8,Woolworths,1
43329,223,223130,223702,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6,Smith,1
43326,225,225242,226134,22,Thins Chips         Originl saltd 175g,1,3.3,Thins,1
43600,226,226133,226926,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1,4.6,Kettle,1
43329,227,227220,229580,25,Pringles SourCream  Onion 134g,1,3.7,Pringles,1
43326,235,235158,238107,90,Tostitos Smoked     Chipotle 175g,1,4.4,Tostitos,1
43328,236,236216,239853,36,Kettle Chilli 175g,2,10.8,Kettle,1
43604,236,236247,240056,92,WW Crinkle Cut      Chicken 175g,1,1.7,WW,1
43332,237,237227,241132,63,Kettle 135g Swt Pot Sea Salt,2,8.4,Kettle,1
43328,237,237293,241451,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,Infzns,1
43330,241,241222,245795,82,Smith Crinkle Cut   Mac N Cheese 150g,2,5.2,Smith,1
43602,243,243070,246706,63,Kettle 135g Swt Pot Sea Salt,1,4.2,Kettle,1
43605,243,243342,247082,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,1,5.1,Old,3
43603,246,246078,248026,109,Pringles Barbeque   134g,1,3.7,Pringles,1
43600,246,246266,248373,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,Infzns,1
43605,247,247223,250007,24,Grain Waves         Sweet Chilli 210g,1,3.6,Grain,2
43329,248,248409,250717,27,WW Supreme Cheese   Corn Chips 200g,3,5.7,WW,2
43602,250,250314,252753,68,Pringles Chicken    Salt Crips 134g,1,3.7,Pringles,1
43604,253,253032,253575,47,Doritos Corn Chips  Original 170g,1,4.4,Doritos,1
43604,253,253295,253972,47,Doritos Corn Chips  Original 170g,3,13.2,Doritos,1
43603,255,255206,254774,81,Pringles Original   Crisps 134g,1,3.7,Pringles,1
43331,256,256041,255158,94,Burger Rings 220g,2,4.6,Burger,2
43604,257,257121,256483,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,1,5.9,Smiths,3
43331,257,257168,256776,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,2,5.4,Red,1
43603,257,257241,257214,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6,Smiths,1
43329,257,257258,257308,114,Kettle Sensations   Siracha Lime 150g,4,18.4,Kettle,1
43330,262,262034,261509,62,Pringles Mystery    Flavour 134g,1,3.7,Pringles,1
43331,262,262126,262025,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4,18.4,Kettle,1
43331,262,262237,262645,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,Doritos,1
43601,265,265087,263394,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,Tyrrells,1
43332,265,265282,263626,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,Smiths,1
43599,266,266376,264212,109,Pringles Barbeque   134g,1,3.7,Pringles,1
43328,269,269153,265956,45,Smiths Thinly Cut   Roast Chicken 175g,1,3,Smiths,1
43330,269,269175,266095,4,Dorito Corn Chp     Supreme 380g,2,6.5,Dorito,3
43604,269,269221,266380,62,Pringles Mystery    Flavour 134g,5,18.5,Pringles,1
43605,271,271017,268321,112,Tyrrells Crisps     Ched & Chives 165g,1,4.2,Tyrrells,1
43633,77,77069,74987,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4,Tyrrells,1
43348,1,1052,57,44,Thins Chips Light&  Tangy 175g,1,3.3,Thins,1
43370,1,1081,92,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,Kettle,1
43523,1,1081,93,96,WW Original Stacked Chips 160g,2,3.8,WW,1
43543,1,1081,94,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,Smiths,1
43632,1,1081,95,57,Old El Paso Salsa   Dip Tomato Mild 300g,1,5.1,Old,3
43429,1,1184,216,2,Cobs Popd Sour Crm  &Chives Chips 110g,1,3.8,Cobs,1
43414,1,1307,346,96,WW Original Stacked Chips 160g,2,3.8,WW,1
43533,1,1307,347,54,CCs Original 175g,1,2.1,CCs,1
43405,1,1348,390,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,Thins,1
43537,1,1348,391,48,Red Rock Deli Sp    Salt & Truffle 150G,1,2.7,Red,1
43561,1,1395,453,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,Smiths,1
43311,1,1411,475,12,Natural Chip Co     Tmato Hrb&Spce 175g,1,3,Natural,1
43391,1,1411,476,92,WW Crinkle Cut      Chicken 175g,1,1.7,WW,1
43409,1,1411,477,36,Kettle Chilli 175g,1,5.4,Kettle,1
43528,1,1411,478,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,Doritos,1
43535,1,1475,557,23,Cheezels Cheese 330g,1,5.7,Cheezels,3
43576,1,1491,577,113,Twisties Chicken270g,1,4.6,Twisties,2
43468,1,1495,580,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6,Smiths,1
43366,2,2203,805,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,Thins,1
43624,2,2203,806,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,1,2.7,Red,1
43313,2,2256,865,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6,Smiths,1
43448,2,2256,866,55,Snbts Whlgrn Crisps Cheddr&Mstrd 90g,1,1.7,Snbts,9
43587,2,2256,867,24,Grain Waves         Sweet Chilli 210g,1,3.6,Grain,2
43474,2,2386,996,56,Cheezels Cheese Box 125g,1,2.1,Cheezels,1
43566,2,2386,997,68,Pringles Chicken    Salt Crips 134g,1,3.7,Pringles,1
43529,2,2389,999,18,Cheetos Chs & Bacon Balls 190g,1,3.3,Cheetos,1
43369,2,2438,1053,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,Smiths,3
43554,2,2438,1054,96,WW Original Stacked Chips 160g,2,3.8,WW,1
43519,2,2444,1057,99,Pringles Sthrn FriedChicken 134g,1,3.7,Pringles,1
43451,2,2454,1071,34,Pringles Slt Vingar 134g,1,3.7,Pringles,1
43564,2,2454,1072,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6,Smiths,1
43563,2,2481,1092,106,Natural ChipCo      Hony Soy Chckn175g,1,3,Natural,1
43382,3,3164,1778,23,Cheezels Cheese 330g,2,11.4,Cheezels,3
43407,3,3164,1779,4,Dorito Corn Chp     Supreme 380g,2,13,Dorito,3
43489,3,3164,1780,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,Kettle,1
43510,3,3164,1781,31,Infzns Crn Crnchers Tangy Gcamole 110g,2,7.6,Infzns,1
43627,3,3164,1782,36,Kettle Chilli 175g,2,10.8,Kettle,1
43284,3,3167,1792,81,Pringles Original   Crisps 134g,2,7.4,Pringles,1
43299,3,3167,1793,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,Cobs,1
43309,3,3167,1794,40,Thins Chips Seasonedchicken 175g,2,6.6,Thins,1
43552,3,3167,1795,24,Grain Waves         Sweet Chilli 210g,2,7.2,Grain,2
43593,3,3167,1796,23,Cheezels Cheese 330g,2,11.4,Cheezels,3
43611,3,3167,1797,114,Kettle Sensations   Siracha Lime 150g,2,9.2,Kettle,1
43526,3,3326,2481,44,Thins Chips Light&  Tangy 175g,2,6.6,Thins,1
43578,3,3326,2482,102,Kettle Mozzarella   Basil & Pesto 175g,2,10.8,Kettle,1
43584,3,3326,2483,102,Kettle Mozzarella   Basil & Pesto 175g,2,10.8,Kettle,1
43627,3,3326,2484,40,Thins Chips Seasonedchicken 175g,2,6.6,Thins,1
43357,3,3349,2569,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,Kettle,1
43494,3,3349,2571,88,Kettle Honey Soy    Chicken 175g,2,10.8,Kettle,1
43547,3,3349,2572,25,Pringles SourCream  Onion 134g,2,7.4,Pringles,1
43550,3,3349,2573,75,Cobs Popd Sea Salt  Chips 110g,1,3.8,Cobs,1
43318,4,4016,2713,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,Thins,1
43467,4,4016,2714,50,Tostitos Lightly    Salted 175g,2,8.8,Tostitos,1
43555,4,4016,2715,49,Infuzions SourCream&Herbs Veg Strws 110g,2,7.6,Infuzions,1
43294,4,4072,2965,17,Kettle Sensations   BBQ&Maple 150g,2,9.2,Kettle,1
43386,4,4072,2966,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,Cobs,1
43496,4,4072,2968,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8,Smiths,3
43504,4,4072,2969,3,Kettle Sensations   Camembert & Fig 150g,2,9.2,Kettle,1
43520,4,4072,2970,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,Infuzions,1
43583,4,4072,2971,25,Pringles SourCream  Onion 134g,1,3.7,Pringles,1
43318,4,4074,2978,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4,Tyrrells,1
43321,4,4074,2979,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,Kettle,1
43446,4,4074,2980,4,Dorito Corn Chp     Supreme 380g,2,13,Dorito,3
43529,4,4074,2981,51,Doritos Mexicana    170g,2,8.8,Doritos,1
43382,4,4106,3135,78,Thins Chips Salt &  Vinegar 175g,2,6.6,Thins,1
43568,4,4106,3136,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,Thins,1
43643,4,4106,3137,78,Thins Chips Salt &  Vinegar 175g,2,6.6,Thins,1
43646,4,4106,3138,113,Twisties Chicken270g,2,9.2,Twisties,2
43287,4,4149,3330,46,Kettle Original 175g,2,10.8,Kettle,1
43299,4,4149,3331,112,Tyrrells Crisps     Ched & Chives 165g,2,8.4,Tyrrells,1
43562,4,4149,3332,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,Infuzions,1
43423,4,4196,3536,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2,Old,3
43434,4,4196,3537,93,Doritos Corn Chip Southern Chicken 150g,2,7.8,Doritos,1
43479,4,4196,3538,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,Kettle,1
43646,4,4196,3540,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,Thins,1
43333,4,4363,4282,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,Thins,1
43508,4,4363,4283,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,2,10.2,Old,3
43547,4,4363,4284,40,Thins Chips Seasonedchicken 175g,2,6.6,Thins,1
43587,4,4363,4285,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2,Old,3
43634,4,4363,4286,15,Twisties Cheese     270g,2,9.2,Twisties,2
43646,4,4363,4287,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,Infuzions,1
43436,4,4371,4315,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,Kettle,1
43458,4,4371,4316,78,Thins Chips Salt &  Vinegar 175g,2,6.6,Thins,1
43528,4,4371,4317,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2,Kettle,1
43463,5,5015,4450,104,Infuzions Thai SweetChili PotatoMix 110g,2,7.6,Infuzions,1
43520,5,5015,4451,109,Pringles Barbeque   134g,2,7.4,Pringles,1
43579,5,5015,4452,81,Pringles Original   Crisps 134g,2,7.4,Pringles,1
43620,5,5015,4453,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2,Kettle,1
43622,5,5015,4454,45,Smiths Thinly Cut   Roast Chicken 175g,2,6,Smiths,1
43345,5,5018,4465,52,Grain Waves Sour    Cream&Chives 210G,2,7.2,Grain,2
43361,5,5018,4466,66,CCs Nacho Cheese    175g,2,4.2,CCs,1
43482,5,5018,4467,53,RRD Sweet Chilli &  Sour Cream 165g,2,6,RRD,1
43617,5,5018,4468,91,CCs Tasty Cheese    175g,2,4.2,CCs,1
43625,5,5018,4469,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2,Old,3
43288,5,5026,4524,13,Red Rock Deli Thai  Chilli&Lime 150g,2,5.4,Red,1
43352,5,5026,4526,84,GrnWves Plus Btroot & Chilli Jam 180g,2,6.2,GrnWves,1
43360,5,5026,4527,83,WW D/Style Chip     Sea Salt 200g,2,3.8,WW,2
43404,5,5026,4528,44,Thins Chips Light&  Tangy 175g,2,6.6,Thins,1
43290,5,5028,4534,84,GrnWves Plus Btroot & Chilli Jam 180g,2,6.2,GrnWves,1
43323,5,5028,4535,67,RRD Chilli&         Coconut 150g,2,5.4,RRD,1
